ztime,zutime,zid,xitem,xalias,xitemnew,xitemold,xdrawing,xscode,xdesc,xlong,xlinks,xgitem,xcitem,xcat,xcatsup,xpricecat,xtaxcat,xgrade,xduty,xorigin,xdiv,xwh,xsup,xtypeserial,xbatchman,xabc,xlife,xwtunit,xunitwt,xminordqty,xminordval,xordmult,xyield,xdtf,xptf,xleadf,xleadv,xleadt,xstdcost,xstdprice,xunitstk,xunitalt,xunitiss,xunitpck,xunitsta,xcfiss,xcfpck,xcfsta,xtypestk,xhide,xwtnet,xunitlen,xl,xw,xh,xdateeff,xdateexp,xnote,xexcisecat,xbrand,xstoporder,xsplprice,xcatful,xmatrix,xcutpcs,xtypedim,xminprice,xmargincost,xbarcode,xmultisel,xmultipur,xstrip,xloc,xteam,xhscode,xmodel,xvalue01,xvalue02,color,xcolor
,,Zid,Item,Alias,,,,,Description,,,Item Group,Item Class,,,,Tax category,,,,,Warehouse,,,Batch,,,,, Minimum Order qty,Minimum Order Value,,,,,,,,COGS,MRP,,,,,,,,,Stock Type,,,,,,,,,,,,,,,,,,,,,,,,Primary Location,,,Model,,Partner Price,,
13:51.5,05:09.0,650217,57560-41G20-000,S57560-41G20-000,,,,,"SWITCH ASSY, CLUTCH",,,ELECTRICAL,Spare Parts,,,,Zero Rated,,,,,Factory WH,,,0,,0,0,,0,0,0,0,0,0,0,0,0,1800,980,,,,,,0,0,0,Stock-N-Sell,0,0,,0,0,0,1/1/2022,9/12/2024,,0,,0,0,Auto,0,0,Extension,0,0,,0,0,0,B3-3-4-02,,0,GSF150- abs bandit,0,810,,
